name,photo,desc,cv,records,instagram,facebook,linkedin,video,slogan
Monica Baggia,team-12.jpg,"Sono assessora all’urbanistica del Comune di Trento dal 2020 e avvocata penalista con 35 anni di esperienza. Nel corso della mia carriera, ho avuto l’onore di ricoprire il ruolo di Consigliera dell’Ordine degli Avvocati di Trento e di fondare il Comitato Pari Opportunità locale. Dal 2014 al 2020 sono stata Presidente di Trentino Trasporti, un’esperienza che mi ha permesso di lavorare a stretto contatto con la comunità e di contribuire allo sviluppo della mobilità sul territorio.",baggia.pdf,baggia.pdf,monica.baggia,monica.baggia,avv-monica-baggia-17ba2146,DHTSBOLt5mG,
Roberta Berardini,team-37.jpg,"Ho 47 anni, ho due figli di 18 e 16 anni, da poco vivo a San Michele all’Adige, ma sono cresciuta a Canova di Gardolo e per vent’anni ho vissuto a Gardolo di Mezzo. Ho frequentato il liceo scientifico Da Vinci a Trento e poi l’università di Verona dove ho conseguito prima il diploma e poi la laurea in fisioterapia. Ho lavorato per alcuni anni in libera professione presso il Kinesi - centro di fisioterapia e di medicina dello sport e dal 2001 lavoro come fisioterapista per l’APSP Civica di Trento nella sede di Gardolo. Da oltre vent’anni mi occupo di persone anziane residenti in RSA e anche grazie a questa mia esperienza sono convinta che il benessere degli anziani sia una priorità fondamentale per costruire una società più inclusiva e attenta alle esigenze di tutti i suoi membri, anche dei più fragili. Si rende quindi necessario promuovere un invecchiamento sano favorendo la salute fisica, la socialità, ma anche un ambiente che garantisca comfort, sicurezza e dignità. Per raggiungere questi obiettivi credo sia essenziale potenziare la rete di assistenza domiciliare, renderla qualificata, capillare e accessibile e parimenti fare in modo che le RSA assicurino ambienti sempre più accoglienti e servizi socio-sanitari di alta qualità, in modo che anche le persone che non possono essere curate a casa ricevano l'assistenza necessaria in modo umano e dignitoso.",berardini.pdf,berardini.pdf,,,,,
Vasco Antonio Bergamaschi,team-29.jpg,"Nato sulle sponde del Lago Maggiore nel 1988, ho sempre vissuto a stretto contatto con la comunità di Laveno Mombello (VA), sviluppando fin da giovane un forte senso di impegno verso le persone e il territorio. Oggi voglio portare questo impegno a Trento, la città in cui ho scelto di vivere e costruire il mio futuro.
Mi sono laureato in Comunicazione per l’impresa e i media all’Università Cattolica di Milano, approfondendo temi di mass media, comunicazione pubblica e psicologia sociale. Con il programma Erasmus, ho trascorso un semestre all’Université Paris-Nanterre. Oggi collaboro ancora con l’Università Cattolica come assistente alla didattica.
Ho iniziato il mio percorso professionale nella comunicazione interna di Bricocenter. Successivamente, ho lavorato per quasi dieci anni nella comunicazione istituzionale del Gruppo Mondadori, occupandomi di digital communication, sostenibilità e diversity. Dal 2019 faccio parte della Nudge Global Impact Challenge, un progetto internazionale per la sostenibilità. Attualmente sono Communication Manager in Loacker, dove mi occupo di pubbliche relazioni.",bergamaschi.pdf,bergamaschi.pdf,vascorange,vasco.bergamaschi,vasco-bergamaschi,DHX4li6tGnx,
Stefano Bloise,team-23.jpg,"Mi chiamo Stefano Bloise e per 15 anni ho lavorato come barista in diversi locali del Trentino, un’esperienza che mi ha permesso di conoscere tante persone e vivere a pieno la realtà del territorio. Successivamente, ho deciso di intraprendere un nuovo percorso nel ramo dell’hotellerie, continuando a mettere al centro il contatto umano e l’ospitalità.    Sono sposato con Paola e insieme abbiamo due figli, rispettivamente di 17 e 13 anni. Nel tempo libero adoro andare in barca a vela, sentire il vento e la libertà dell’acqua. Sono anche un grande appassionato di vini, pur senza definirmi un esperto.    Credo nell’importanza di mettersi in gioco e di contribuire alla comunità con passione e impegno.",bloise.pdf,bloise.pdf,,,stefano-bloise-9290b3161,,
Andrea Bolner,team-22.jpg,Sono laureato in filologia e critica letteraria e ho lavorato come insegnante sia in Italia che all'estero. Da 30 anni mi impegno nella promozione di eventi musicali e artistico-culturali. Attualmente sono il gestore del Bar Funivia.,bolner.pdf,bolner.pdf,,,,,
Oscar Bottes,team-39.jpg,"nato a Trento prima che cadesse il muro di Berlino. Sono project manager in ambito culturale, con esperienza nel mondo della comunicazione, dove mi occupo di creare contenuti e piani editoriali. Lavoro anche come copywriter creativo e insegno lettere alle scuole superiori.
Ho vissuto e studiato a Berlino, Bruxelles e Milano. E sì, sono anche un pianista... così così.
",bottes.pdf,bottes.pdf,,,,,
Andrea Brunello,team-28.jpg,"drammaturgo, regista, attore e podcaster, attivo tra teatro e scienza. Fondatore del Teatro Portland e del festival Teatro della Meraviglia, dirige il Jet Propulsion Theatre all’Università di Trento. Laureato in fisica alla Cornell, con un PhD a Stony Brook, insegna comunicazione della scienza attraverso il teatro.",brunello.pdf,brunello.pdf,,,,,
Giuseppe Cao,team-33.jpg,"tecnico del suono e direttore tecnico, diplomato in Tecnologie del Suono all'Accademia Teatro alla Scala. Ha collaborato con Trento Service, il Centro Culturale Santa Chiara e Cobra SRL, lavorando su eventi culturali e fiere internazionali. Attivo nella consulenza tecnica e nell’organizzazione di eventi, porta creatività e competenza nel settore audio e visual.",cao.pdf,cao.pdf,,,,,
Siria Caputo,team-38.jpg,"imprenditrice della ristorazione, ha costruito la sua carriera con impegno e lavoro di squadra. Dopo il diploma all’istituto alberghiero, ha maturato esperienza in hotel e ristoranti fino ad aprire il suo primo locale. Sa che fare impresa significa organizzare, risolvere problemi e costruire relazioni.",caputo.pdf,caputo.pdf,,,,,
Alessandro Ciervo detto Ale Picaro,team-10.jpg,"alias Ale Picaro. Gestisco il Bar Picaro da 24 anni e dato le problematiche nella zona di Santa Maria Maggiore, ho deciso di ricandidarmi, per creare una Trento sicura di giorno e di notte. Inoltre lavoro per la re-cig che ricicla mozziconi di sigarette, dato che ci tengo all'ambiente. Le mie intenzioni sono di risolvere le questioni sulla sicurezza, continuare a creare sinergie con le associazioni trentine e magari semplificarne la burocrazia, migliorare i trasporti soprattutto serali e cercare di migliorare la raccolta differenziata, anche magari riciclando le mascherine che tutt'ora sono dentro agli istituti scolastici.",ciervo.pdf,ciervo.pdf,,,,,
Maria Pia Dalla Torre,team-4.jpg,"47 anni, sposata con due figli, vivo in Clarina e lavoro da oltre 20 anni nell’Area Servizi agli Studenti dell’Opera Universitaria di Trento, per garantire il diritto allo studio agli studenti universitari. Ho sempre dedicato il mio tempo libero al volontariato e dal 2022 sono diventata volontaria in cure palliative presso Casa Hospice Cima verde, dove presto accoglienza ed assistenza agli ospiti e ai loro familiari.",dalla_torre.pdf,dalla_torre.pdf,,,,,
Lorenzo Dalrì,team-6.jpg,"Ho lavorato fin dalla terza media, impegnandomi da subito come delegato sindacale. Anche da pensionato, continuo a dare consigli in ambito lavorativo. Appassionato di funghi e tifoso della Trentino Volley, credo che con l’impegno di tutti si possa costruire una società migliore per i nostri ragazzi.",dalri.pdf,dalri.pdf,,,,,
Felipe De Gasperi,team-25.jpg,"Nato a Bento Gonçalves, Brasile, si è trasferito a Trento nel 2022 con la sua famiglia, scegliendo Meano come casa. Dopo 11 anni in BANRISUL, oggi lavora in contabilità presso DAO. Con studi in Biologia, ha sempre operato in ambito amministrativo ed economico.",de_gasperi.pdf,de_gasperi.pdf,,,,,
Claudio Dellai,team-1.jpg,"Sono nato a Pergine Valsugana nel 1949 e, nel 1964, mi sono trasferito a Trento con la mia famiglia. Sono sposato e ho due figli, e dal 1996 vivo al Tridente di Trento.    Mi sono laureato presso la Facoltà di Architettura di Venezia e ho esercitato la professione con passione, affiancandola al mio ruolo di docente. Per molti anni ho insegnato Modellistica per il Design al Liceo Artistico Alessandro di Trento, trasmettendo agli studenti l’importanza della creatività e della progettazione.    Da sempre sono impegnato per il recupero urbano e ho avuto l'onore di guidare un progetto di risanamento condominiale, collaborando con il Sindaco Ianeselli per migliorare la qualità degli spazi abitativi.    Anche oggi continuo la mia battaglia per una Trento più bella e sicura, perché credo fermamente che l’architettura e il design possano fare la differenza nella vita delle persone.",dellai.pdf,dellai.pdf,,claudio.dellai,claudio-dellai-7a516560/,DHf3JLXt7FO,
