name,photo,about,cv,records
Monica Baggia,team-12.jpg,"Assessora all’urbanistica di Trento dal 2020, avvocata penalista con 35 anni di esperienza. È stata Consigliera dell’Ordine degli Avvocati di Trento, fondatrice del CPO locale e Presidente di Trentino Trasporti dal 2014 al 2020.",baggia.pdf,
Roberta Berardini,team-37.jpg,"47 anni, fisioterapista, ha due figli, ha studiato al Liceo Da Vinci e si è laureata in fisioterapia all’università di Verona. Da oltre vent’anni lavora come fisioterapista per l’APSP Civica di Trento nella sede di Gardolo. Crede sia necessario promuovere un invecchiamento sano favorendo la salute fisica e la socialità, in un ambiente che garantisca comfort, sicurezza e dignità.",berardini.pdf,
Vasco Antonio Bergamaschi,team-29.jpg,"Nato e cresciuto a Laveno Mombello (VA) nel 1988, laureato in Comunicazione, con esperienza in digital communication e sostenibilità, ha lavorato per Mondadori e oggi è Communication Manager in Loacker. Attivo nel volontariato e nella Nudge Global Impact Challenge, si candida per portare a Trento un modello di città più inclusiva e sostenibile.",bergamaschi.pdf,
Stefano Bloise,team-23.jpg,"ho fatto il barista per 15 anni in vari locali del Trentino dopodichè sono passato nel ramo dell' Hotellerie. Sono sposato con Paola e abbiamo due figli rispettivamente  di 17 e 13 anni. Nel tempo libero mi piace andare in barca a vela, e sono appassionato di vini( ma non esperto) .",bloise.pdf,
Andrea Bolner,team-22.jpg,"Laureato in filologia e critica letteraria, insegnante in Italia e all'estero, da 30 anni impegnato nella promozione di eventi musicali ed artistico culturali. Attualmente gestore del Bar Funivia ",bolner.pdf,
Oscar Bottes,team-39.jpg,"nato a Trento prima della caduta del Muro di Berlino, è project manager culturale, copywriter e docente di lettere. Ha esperienza nella comunicazione e ha vissuto a Berlino, Bruxelles e Milano. Pianista così così.",bottes.pdf,
Andrea Brunello,team-28.jpg,"drammaturgo, regista, attore e podcaster, attivo tra teatro e scienza. Fondatore del Teatro Portland e del festival Teatro della Meraviglia, dirige il Jet Propulsion Theatre all’Università di Trento. Laureato in fisica alla Cornell, con un PhD a Stony Brook, insegna comunicazione della scienza attraverso il teatro.",brunello.pdf,
Giuseppe Cao,team-33.jpg,"tecnico del suono e direttore tecnico, diplomato in Tecnologie del Suono all'Accademia Teatro alla Scala. Ha collaborato con Trento Service, il Centro Culturale Santa Chiara e Cobra SRL, lavorando su eventi culturali e fiere internazionali. Attivo nella consulenza tecnica e nell’organizzazione di eventi, porta creatività e competenza nel settore audio e visual.",cao.pdf,
Siria Caputo,team-38.jpg,"imprenditrice della ristorazione, ha costruito la sua carriera con impegno e lavoro di squadra. Dopo il diploma all’istituto alberghiero, ha maturato esperienza in hotel e ristoranti fino ad aprire il suo primo locale. Sa che fare impresa significa organizzare, risolvere problemi e costruire relazioni.",caputo.pdf,
Alessandro Ciervo detto Ale Picaro,team-10.jpg,"Gestore del Bar Picaro da 24 anni, si ricandida per una Trento più sicura, di giorno e di notte. Attivo nella sostenibilità con Re-cig per il riciclo dei mozziconi, si impegna per migliorare trasporti serali, raccolta differenziata e semplificare la burocrazia per le associazioni.",ciervo.pdf,
